ts_ms,label
231500,phobic
232000,blood
232000,obscene
232000,phobic
232500,obscene
233000,obscene
233000,phobic
233500,obscene
233500,phobic
234000,obscene
234500,obscene
234500,phobic
235000,obscene
235000,phobic
235500,obscene
235500,phobic
236000,obscene
236000,phobic
236500,obscene
236500,phobic
237000,obscene
237000,phobic
237500,obscene
237500,phobic
238000,obscene
238000,phobic
238500,obscene
238500,phobic
239000,obscene
239000,obscene
239000,phobic
239500,obscene
239500,obscene
239500,phobic
240000,obscene
240000,obscene
240000,phobic
240500,obscene
240500,phobic
241000,obscene
241000,phobic
241500,obscene
241500,phobic
242000,obscene
242000,phobic
242500,obscene
243000,obscene
243000,phobic
243500,obscene
243500,phobic
244000,obscene
244500,obscene
245000,obscene
245500,obscene
246000,obscene
246500,obscene
246500,phobic
247000,obscene
247000,phobic
247500,obscene
248000,obscene
248500,obscene
249000,obscene
249500,obscene
250000,obscene
250500,alcohol
250500,alcohol
250500,blood
250500,blood
250500,blood
250500,obscene
250500,phobic
251000,alcohol
251000,alcohol
251000,blood
251000,obscene
251500,alcohol
251500,alcohol
251500,blood
251500,obscene
252000,alcohol
252000,alcohol
252000,blood
252000,obscene
252500,alcohol
252500,alcohol
252500,blood
252500,obscene
253000,alcohol
253000,alcohol
253000,blood
253000,obscene
253500,obscene
253500,phobic
254000,blood
254000,obscene
254000,phobic
254500,obscene
254500,phobic
255000,obscene
255000,phobic
255500,obscene
255500,phobic
256000,obscene
256000,phobic
256500,obscene
256500,phobic
257000,obscene
257000,phobic
257500,obscene
257500,phobic
258000,obscene
258000,phobic
258500,obscene
258500,phobic
259000,obscene
259000,phobic
259500,phobic
260000,blood
260000,blood
260000,obscene
260000,phobic
260500,obscene
260500,obscene
260500,phobic
261000,obscene
261000,phobic
261500,obscene
261500,phobic
262000,obscene
262000,phobic
262500,obscene
262500,phobic
263000,obscene
263000,phobic
263500,obscene
263500,phobic
264000,obscene
264000,phobic
264500,obscene
264500,obscene
264500,phobic
265000,obscene
265000,phobic
265500,obscene
265500,phobic
266000,obscene
266000,phobic
266500,obscene
266500,phobic
267000,obscene
267000,phobic
267500,obscene
267500,phobic
268000,obscene
268000,phobic
268500,obscene
268500,phobic
269000,obscene
269000,phobic
269500,obscene
269500,phobic
270000,obscene
270500,obscene
270500,phobic
271000,obscene
271000,phobic
271500,obscene
272000,obscene
272000,phobic
272500,obscene
272500,phobic
273000,obscene
273000,phobic
273500,obscene
273500,phobic
274000,obscene
274000,phobic
274500,obscene
274500,phobic
275000,obscene
275000,obscene
275000,phobic
275500,obscene
275500,phobic
276000,obscene
276000,phobic
276500,obscene
276500,phobic
277000,obscene
277000,phobic
277500,obscene
277500,phobic
278000,obscene
278000,phobic
278500,obscene
278500,phobic
279000,obscene
279000,phobic
279500,obscene
279500,phobic
280000,obscene
280000,phobic
280500,obscene
281000,obscene
281000,phobic
281500,obscene
282000,obscene
282000,phobic
282500,obscene
283000,obscene
283500,obscene
283500,phobic
284000,obscene
284000,phobic
284500,obscene
284500,phobic
285000,obscene
285000,phobic
285500,obscene
285500,phobic
286000,obscene
286000,phobic
287000,obscene
287000,phobic
287500,obscene
287500,phobic
288000,obscene
288000,phobic
288500,obscene
288500,phobic
289000,obscene
289000,phobic
289500,obscene
289500,phobic
290000,obscene
290000,phobic
290500,obscene
290500,phobic
291000,obscene
291000,phobic
291500,obscene
291500,phobic
292000,obscene
292000,phobic
292500,obscene
292500,phobic
293000,obscene
293000,phobic
293500,obscene
293500,phobic
294000,obscene
294000,phobic
294500,obscene
294500,phobic
295000,obscene
295000,phobic
295500,obscene
295500,phobic
296000,obscene
296000,phobic
296500,obscene
296500,phobic
297000,obscene
297500,obscene
298000,obscene
298500,obscene
299000,obscene
299500,obscene
300000,blood
300000,obscene
300500,obscene
301000,obscene
301500,obscene
302000,blood
302000,obscene
302500,obscene
303000,obscene
303500,obscene
304000,obscene
304000,phobic
304500,obscene
305000,obscene
305500,obscene
306000,obscene
306500,obscene
307000,obscene
307500,obscene
308000,blood
308000,obscene
308000,obscene
308500,blood
308500,obscene
308500,obscene
309000,blood
309000,obscene
309000,obscene
309500,blood
309500,obscene
309500,obscene
310000,blood
310000,obscene
310000,obscene
310500,blood
310500,obscene
310500,obscene
311000,blood
311000,blood
311000,obscene
311500,blood
311500,obscene
312000,alcohol
312000,blood
312000,blood
312000,obscene
312000,obscene
312500,alcohol
312500,blood
312500,obscene
313000,alcohol
313000,blood
313000,obscene
313000,obscene
313500,alcohol
313500,blood
313500,obscene
314000,alcohol
314000,blood
314000,blood
314000,obscene
314000,phobic
314500,alcohol
314500,blood
314500,phobic
315000,blood
315500,blood
315500,obscene
316000,blood
316000,obscene
316500,blood
316500,obscene
317000,blood
317500,blood
317500,obscene
318000,blood
318000,obscene
318500,blood
318500,obscene
319000,blood
319000,obscene
319500,blood
319500,obscene
319500,obscene
320000,blood
320000,obscene
320000,obscene
320500,blood
320500,obscene
320500,obscene
321000,blood
321000,obscene
321500,blood
321500,obscene
321500,obscene
322000,blood
322000,obscene
322000,obscene
322500,blood
322500,obscene
322500,obscene
323000,obscene
323500,obscene
324000,obscene
324500,obscene
325000,obscene
325500,obscene
326000,obscene
326500,obscene
326500,phobic
327000,obscene
327500,obscene
327500,phobic
328000,obscene
328000,phobic
328500,obscene
328500,phobic
329000,blood
329000,obscene
329500,obscene
329500,phobic
330000,obscene
330000,phobic
330500,obscene
330500,phobic
331000,obscene
331500,blood
331500,obscene
331500,phobic
332000,obscene
332000,phobic
332500,obscene
332500,phobic
333000,obscene
333000,phobic
333500,obscene
333500,phobic
334000,obscene
334000,obscene
334000,phobic
334500,obscene
334500,phobic
335000,obscene
335000,obscene
335000,phobic
335500,obscene
335500,obscene
335500,phobic
336000,obscene
336000,phobic
336500,obscene
337000,obscene
337000,phobic
337500,obscene
337500,phobic
338000,obscene
338000,phobic
338500,obscene
338500,phobic
339000,obscene
339000,phobic
339500,obscene
339500,phobic
340000,obscene
340000,phobic
340500,obscene
340500,phobic
341000,obscene
341000,phobic
341500,obscene
341500,phobic
342000,obscene
342000,phobic
342500,obscene
342500,phobic
343000,obscene
343000,phobic
343500,obscene
344000,obscene
344500,obscene
345000,obscene
345000,phobic
345500,obscene
345500,phobic
346000,obscene
346000,phobic
346500,obscene
346500,phobic
347000,obscene
347000,phobic
347500,obscene
347500,phobic
348000,obscene
348000,phobic
348500,obscene
348500,phobic
349000,obscene
349500,obscene
350000,obscene
350500,obscene
351000,obscene
351500,obscene
352000,obscene
352000,phobic
352500,obscene
352500,phobic
353000,obscene
353000,phobic
353500,obscene
353500,phobic
354000,obscene
354000,phobic
354500,obscene
354500,phobic
355000,obscene
355000,phobic
355500,obscene
355500,phobic
356000,obscene
356500,obscene
357000,obscene
357000,phobic
357500,obscene
357500,phobic
358000,obscene
358000,phobic
358500,obscene
358500,phobic
359000,obscene
359000,phobic
359500,obscene
360000,obscene
360500,obscene
360500,phobic
361000,obscene
361000,phobic
361500,obscene
361500,phobic
362000,obscene
362000,obscene
362000,phobic
362500,obscene
362500,phobic
363000,obscene
363000,phobic
363500,obscene
363500,phobic
364000,obscene
364500,obscene
365000,blood
365000,obscene
365500,obscene
365500,phobic
366000,obscene
366000,phobic
366500,obscene
366500,phobic
367000,obscene
367000,phobic
367500,obscene
367500,phobic
368000,obscene
368000,phobic
368500,phobic
369000,obscene
369000,phobic
369500,obscene
369500,phobic
370000,obscene
370000,phobic
370500,obscene
370500,phobic
371000,obscene
371500,obscene
371500,phobic
372000,obscene
372500,obscene
372500,phobic
373000,obscene
373500,obscene
374000,obscene
374500,obscene
375000,obscene
375500,obscene
375500,phobic
376000,blood
376000,obscene
376000,phobic
376500,obscene
376500,phobic
377000,obscene
377000,phobic
377500,obscene
377500,phobic
378000,obscene
378000,phobic
378500,obscene
378500,phobic
379000,obscene
379000,phobic
379500,obscene
379500,phobic
380000,obscene
380000,phobic
380500,obscene
380500,obscene
380500,phobic
381000,obscene
381500,obscene
381500,phobic
382000,obscene
382000,phobic
382500,obscene
382500,phobic
383000,obscene
383000,phobic
383500,obscene
383500,phobic
384000,obscene
384000,phobic
384500,obscene
385000,obscene
385000,phobic
385500,obscene
386000,obscene
386500,obscene
386500,phobic
387000,obscene
387500,obscene
387500,phobic
388000,obscene
388000,phobic
388500,obscene
388500,obscene
388500,phobic
389000,obscene
389000,phobic
389500,obscene
389500,phobic
390000,obscene
390000,phobic
390500,obscene
390500,obscene
390500,phobic
391000,obscene
391000,phobic
391500,obscene
392000,obscene
392000,phobic
392500,obscene
392500,phobic
393000,obscene
393000,phobic
393500,obscene
393500,phobic
394000,obscene
394000,phobic
394500,obscene
394500,phobic
395000,obscene
395000,phobic
395500,obscene
395500,phobic
396000,obscene
396000,phobic
396500,obscene
396500,phobic
397000,obscene
397000,phobic
397500,obscene
397500,phobic
398000,obscene
398000,phobic
398500,obscene
398500,phobic
399000,obscene
399000,phobic
399500,obscene
399500,phobic
400000,obscene
400000,phobic
400500,obscene
400500,phobic
401000,obscene
401000,phobic
401500,obscene
401500,phobic
402000,obscene
402000,phobic
402500,obscene
402500,phobic
403000,obscene
403000,phobic
403500,obscene
403500,phobic
404000,obscene
404000,phobic
404500,obscene
404500,phobic
405000,obscene
405500,obscene
405500,phobic
406000,obscene
406500,obscene
406500,phobic
407000,obscene
407500,obscene
408000,obscene
408500,obscene
408500,phobic
409000,obscene
409000,phobic
409500,obscene
409500,phobic
410000,obscene
410000,phobic
410500,obscene
410500,phobic
411000,obscene
411000,phobic
411500,obscene
411500,phobic
412000,obscene
412000,phobic
412500,obscene
412500,phobic
413000,obscene
413000,phobic
413500,obscene
413500,phobic
414000,obscene
414000,phobic
414500,obscene
414500,phobic
415000,obscene
415000,phobic
415500,obscene
415500,phobic
416000,obscene
416000,phobic
416500,obscene
416500,phobic
417000,obscene
417000,phobic
417500,obscene
417500,phobic
418000,obscene
418000,phobic
418500,obscene
419000,obscene
419500,obscene
419500,phobic
420000,obscene
420000,phobic
420500,obscene
420500,phobic
421000,obscene
421000,phobic
421500,obscene
421500,phobic
422000,obscene
422000,phobic
422500,obscene
422500,phobic
423000,obscene
423000,phobic
423500,obscene
423500,phobic
424000,obscene
424000,phobic
424500,obscene
424500,phobic
425000,obscene
425000,phobic
425500,obscene
425500,phobic
426000,obscene
426000,phobic
426500,obscene
426500,phobic
427000,obscene
427000,phobic
427500,obscene
427500,phobic
428000,obscene
428000,obscene
428000,phobic
428500,obscene
428500,phobic
429000,obscene
429000,obscene
429000,phobic
429500,obscene
429500,obscene
429500,phobic
430000,obscene
430000,obscene
430000,phobic
430500,obscene
430500,phobic
431000,obscene
431000,phobic
431500,obscene
431500,phobic
432000,obscene
432000,phobic
432500,obscene
432500,phobic
433000,obscene
433000,obscene
433000,phobic
433500,obscene
433500,phobic
434000,obscene
434000,phobic
434500,obscene
434500,phobic
435000,obscene
435000,phobic
435500,obscene
435500,phobic
436000,obscene
436000,phobic
436500,obscene
436500,phobic
437000,obscene
437000,phobic
437500,obscene
437500,phobic
438000,obscene
438000,phobic
438500,obscene
438500,phobic
439000,obscene
439000,phobic
439500,obscene
439500,phobic
440000,obscene
440000,phobic
440500,obscene
440500,phobic
441000,obscene
441000,phobic
441500,obscene
441500,phobic
442000,obscene
442000,phobic
442500,obscene
442500,phobic
443000,obscene
443000,phobic
443500,obscene
443500,phobic
444000,obscene
444000,phobic
444500,obscene
444500,phobic
445000,obscene
445000,phobic
445500,obscene
445500,obscene
445500,phobic
446000,obscene
446000,phobic
446500,obscene
446500,phobic
447000,obscene
447000,phobic
447500,obscene
447500,phobic
448000,obscene
448000,phobic
448500,obscene
448500,phobic
449000,obscene
449000,phobic
449500,obscene
449500,obscene
449500,phobic
450000,obscene
450000,phobic
450500,obscene
450500,phobic
451000,obscene
451000,phobic
451500,obscene
451500,phobic
452000,obscene
452000,phobic
452500,obscene
452500,phobic
453000,obscene
453000,phobic
453500,obscene
453500,phobic
454000,obscene
454000,phobic
454500,obscene
454500,phobic
455000,obscene
455000,obscene
455000,phobic
455500,obscene
455500,obscene
455500,phobic
456000,obscene
456000,phobic
456500,obscene
456500,phobic
457000,obscene
457000,phobic
457500,obscene
457500,phobic
458000,obscene
458000,phobic
458500,obscene
458500,phobic
459000,obscene
459000,phobic
459500,obscene
459500,phobic
460000,obscene
460000,phobic
460500,alcohol
460500,obscene
460500,phobic
461000,alcohol
461000,obscene
461000,phobic
461500,alcohol
461500,obscene
461500,phobic
462000,alcohol
462000,blood
462000,obscene
462000,phobic
462500,alcohol
462500,blood
462500,obscene
462500,phobic
463000,alcohol
463000,blood
463000,blood
463500,alcohol
463500,blood
463500,blood
463500,obscene
463500,phobic
464000,alcohol
464000,blood
464000,blood
464000,phobic
464500,alcohol
464500,blood
464500,obscene
464500,phobic
465000,alcohol
465000,blood
465000,obscene
465000,phobic
465500,alcohol
465500,blood
465500,blood
465500,obscene
465500,phobic
466000,alcohol
466000,blood
466000,obscene
466000,phobic
466500,obscene
466500,phobic
467000,obscene
467000,phobic
467500,obscene
467500,phobic
468000,obscene
468000,phobic
468500,obscene
468500,phobic
469000,obscene
469000,phobic
469500,obscene
469500,phobic
470000,obscene
470000,phobic
470500,obscene
470500,phobic
471000,obscene
471000,phobic
471500,obscene
471500,phobic
472000,obscene
472000,phobic
472500,obscene
472500,phobic
473000,obscene
473000,phobic
473500,obscene
473500,phobic
474000,obscene
474000,phobic
474500,obscene
474500,phobic
475000,obscene
475000,phobic
475500,alcohol
475500,phobic
476000,alcohol
476000,phobic
476500,alcohol
476500,phobic
477000,alcohol
477000,blood
477000,obscene
477000,phobic
477500,alcohol
477500,obscene
477500,phobic
478000,blood
478000,blood
478000,obscene
478500,blood
478500,blood
478500,obscene
479000,blood
479000,blood
479000,obscene
479500,blood
479500,blood
479500,obscene
480000,blood
480000,blood
480000,obscene
480500,blood
480500,blood
480500,obscene
481000,blood
481000,blood
481000,obscene
481500,blood
481500,blood
481500,obscene
482000,blood
482000,blood
482000,obscene
482500,blood
482500,blood
482500,obscene
483000,blood
483000,blood
483000,obscene
483500,blood
483500,blood
483500,obscene
484000,blood
484000,blood
484000,obscene
484500,blood
484500,blood
484500,obscene
484500,obscene
485000,blood
485000,blood
485000,obscene
485500,blood
485500,blood
485500,obscene
485500,obscene
486000,blood
486000,blood
486000,obscene
486000,obscene
490000,blood
509500,blood
510500,blood
511000,blood
511000,blood
511500,blood
512000,blood
512500,blood
512500,blood
513000,blood
